DCS,Std,500.0,0.0076,0.0087,0.0004,0.0014,0.0,0.0009,0.0003,0.0011,0.0002,0.0004,0.0005,0.0003,0.0015,0.0008,0.0007,0.0021,0.0057,0.006,0.0062,0.0058,0.0067,0.0072,0.0067,0.0085
DCS,Std,1000.0,0.0001,0.0003,0.0015,0.0025,0.0005,0.0017,0.0003,0.001,0.0059,0.0014,0.0002,0.0005,0.0014,0.0009,0.0004,0.0008,0.0005,0.0003,0.0006,0.0014,0.0025,0.001,0.0043,0.0051
Benazepril,Mean,0.0,0.3566,0.3762,0.4174,0.3837,0.3552,0.3642,0.4159,0.3628,0.377,0.3661,0.3687,0.3356,0.3184,0.2733,0.2559,0.2438,0.2347,0.2288,0.2265,0.2325,0.219,0.2358,0.2284,0.2434
Benazepril,Mean,15.62,0.3536,0.3377,0.3338,0.3432,0.3406,0.3382,0.3366,0.3329,0.3382,0.3374,0.3531,0.3522,0.3675,0.4514,0.4288,0.3436,0.3106,0.2947,0.2739,0.2668,0.2627,0.2589,0.2459,0.239
Benazepril,Mean,31.25,0.3425,0.3393,0.3324,0.3343,0.3395,0.3249,0.3223,0.3224,0.3262,0.3338,0.3321,0.3477,0.3934,0.4618,0.42,0.3498,0.3069,0.2867,0.2667,0.2727,0.2662,0.2581,0.2451,0.2305
Benazepril,Mean,62.5,0.3211,0.3257,0.3296,0.3086,0.3078,0.3094,0.3037,0.3052,0.3078,0.3035,0.3117,0.3089,0.3964,0.3942,0.3869,0.3465,0.3062,0.2865,0.2678,0.2726,0.2563,0.2516,0.244,0.2302
Benazepril,Mean,125.0,0.279,0.2855,0.2747,0.279,0.2746,0.2738,0.2776,0.2748,0.279,0.2765,0.2879,0.2972,0.3586,0.3756,0.327,0.2895,0.2815,0.2687,0.2548,0.2563,0.2564,0.2437,0.2432,0.2271
Benazepril,Mean,250.0,0.1976,0.1902,0.1887,0.1874,0.1859,0.1877,0.1848,0.1847,0.1835,0.1867,0.1864,0.1898,0.2144,0.2339,0.2421,0.2336,0.2382,0.2454,0.2539,0.2667,0.2542,0.2414,0.2361,0.2339
Benazepril,Mean,500.0,0.1177,0.1111,0.1107,0.1136,0.11,0.1033,0.1022,0.1018,0.0997,0.1007,0.1022,0.1061,0.1084,0.1227,0.1695,0.1886,0.2067,0.2375,0.2464,0.2624,0.2522,0.2362,0.2346,0.2256
Benazepril,Mean,1000.0,0.1117,0.1114,0.1107,0.1103,0.1095,0.1118,0.1063,0.1037,0.1055,0.1019,0.1031,0.0989,0.1025,0.1126,0.1302,0.1639,0.1964,0.2231,0.2476,0.2556,0.2515,0.242,0.2345,0.227
Benazepril,Mean,2000.0,0.1113,0.1083,0.1114,0.1104,0.1144,0.1094,0.1151,0.1078,0.1052,0.106,0.1086,0.1036,0.1067,0.1154,0.1303,0.1556,0.1949,0.2186,0.2399,0.2603,0.2578,0.2547,0.2433,0.2378
Benazepril,Std,0.0,0.0268,0.0123,0.0166,0.0217,0.0209,0.0159,0.0253,0.0379,0.0158,0.0271,0.0243,0.0325,0.0193,0.0376,0.0208,0.0155,0.0314,0.0263,0.0282,0.0357,0.0231,0.0369,0.0272,0.0244
Benazepril,Std,15.62,0.0204,0.0225,0.0224,0.0181,0.0177,0.0184,0.017,0.0158,0.0182,0.0168,0.0232,0.0232,0.0225,0.0249,0.0163,0.002,0.0049,0.0092,0.0133,0.0151,0.0148,0.0153,0.015,0.0103
Benazepril,Std,31.25,0.0188,0.0244,0.0239,0.0178,0.022,0.0168,0.0166,0.0162,0.018,0.0158,0.0151,0.0191,0.0278,0.021,0.0156,0.0069,0.0049,0.0066,0.014,0.0142,0.0159,0.0139,0.0122,0.008
Benazepril,Std,62.5,0.0162,0.0157,0.0219,0.0141,0.0141,0.0183,0.0135,0.0137,0.0161,0.0134,0.0138,0.0139,0.0283,0.0195,0.0115,0.013,0.0086,0.0065,0.0155,0.0149,0.0154,0.0178,0.0087,0.0076
Benazepril,Std,125.0,0.013,0.0143,0.0116,0.0139,0.0149,0.0137,0.0134,0.0125,0.0143,0.0128,0.0143,0.014,0.0327,0.0182,0.0149,0.0082,0.0066,0.0076,0.011,0.0151,0.0157,0.0174,0.0113,0.0073
Benazepril,Std,250.0,0.0115,0.0106,0.01,0.0122,0.0122,0.0127,0.0121,0.0125,0.0138,0.0142,0.0116,0.0122,0.014,0.0144,0.0109,0.0078,0.0094,0.008,0.0087,0.0095,0.0108,0.011,0.0124,0.0074
Benazepril,Std,500.0,0.0001,0.0001,0.0002,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0003,0.0019,0.0047,0.0121,0.0037,0.0077,0.0098,0.0095,0.0097,0.0064,0.0117,0.0112,0.008
Benazepril,Std,1000.0,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0,0.0002,0.0002,0.0003,0.0001,0.001,0.0028,0.0053,0.014,0.005,0.0096,0.0114,0.0109,0.009,0.0105,0.0099,0.0072
Benazepril,Std,2000.0,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0002,0.0002,0.0001,0.0003,0.0002,0.0001,0.0005,0.002,0.0044,0.0121,0.0071,0.0105,0.0133,0.0101,0.0106,0.0117,0.0109,0.0088
